Method,Sample,Volume,Sphericity,Z/XY Ratio,Total Loss
x2 vq loss,9,4.639875000000001,0.9058478972427534,1.9294174545847929,1.131731725959188
x2 vq loss,10,3.8105000000000007,0.9284752873780627,1.565063962728096,0.7265098599690922
x2 vq loss,11,4.437499999999999,0.8951513877456296,1.891314479462009,1.055991130885235
x2 vq loss,12,4.155250000000003,0.9002954757013565,2.189678927295647,1.2969664465787658
x2 vq loss,13,3.9997500000000032,0.92302515698008,1.9408679090473837,1.0625645098891325
x2 vq loss,14,3.8632500000000016,0.9031690309091797,2.1989805668346314,1.373134201318334
x2 vq loss,15,3.646875000000001,0.9439447348600937,1.6691785370063403,0.8542342798152218
x2 vq loss,16,4.218125,0.9273473767398915,1.8683304054659762,0.9484167521557477
x2 vq loss,17,3.9865,0.8899366528268745,1.8846888324773514,1.0426384944343319
x2 vq loss,18,3.6402500000000004,0.9264455755058151,1.9839142612816607,1.1880514419258337
x2 vq loss,19,4.349499999999999,0.8643134768299858,3.3563816461513443,2.530878773572612
x2 vq loss,20,3.5403750000000014,0.9370885962575339,1.74809667513722,0.9654444294887137
x2 vq loss,21,3.6747500000000004,0.9317263750477468,2.035331357763674,1.2259479490402645
x2 vq loss,22,4.086874999999999,0.8782017324009326,2.5209851883754166,1.6666967590554491
x2 vq loss,23,3.9138750000000013,0.8741692949053107,2.5052084907308396,1.6962708652785976
x2 vq loss,24,4.301374999999998,0.881312855996893,2.285121185842394,1.4311250243761908
x2 vq loss,25,4.351875,0.862119551512524,2.478801549088684,1.6560598337357015
x2 vq loss,26,4.351875,0.862119551512524,2.478801549088684,1.6560598337357015
x2 vq loss,27,3.994750000000002,0.9295276579004622,1.9475117935599298,1.0639000659197968
x2 vq loss,28,4.196125000000002,0.8828990003571153,2.4798706805320028,1.5991510448751507
x2 vq loss,29,4.200000000000001,0.9100558079080185,2.210857646468072,1.3039066869001537
x1_mrf,0,3.485375,0.9537762509748794,1.537143571433098,0.750939567890748
x1_mrf,1,3.716000000000001,0.9126376354136374,1.9318009236276885,1.1316543319207621
x1_mrf,2,4.199625,0.9332640293918395,1.7555153367826548,0.825266592798028
x1_mrf,3,3.8427500000000006,0.9410660383953472,1.7481414023838329,0.8892941363792188
x1_mrf,4,3.7996249999999994,0.9404574549855581,1.8016097844200896,0.9536708391073284
x1_mrf,5,3.7011250000000016,0.9335620443306885,1.6783921039777645,0.8608737663583248
x1_mrf,6,4.185875000000003,0.9418637501953178,1.796615934352275,0.8550208729556191
x1_mrf,7,4.147625,0.9326151068161975,1.9161594485897755,0.9929484497267665
x1_mrf,8,3.988000000000001,0.9479931500667876,1.729786815028437,0.829321728013954
x1_mrf,9,4.334625000000003,0.9096950801959949,2.1974237798077576,1.3229866408584794
x1_mrf,10,3.5976250000000003,0.9383774209218371,1.8745937029499173,1.0769793582162819
x1_mrf,11,4.293750000000003,0.9117635326482552,2.135980676807665,1.249712725721388
x1_mrf,12,3.536374999999997,0.7457193195735989,3.063656780104556,2.473329149090786
x1_mrf,13,3.446625000000001,0.7135728241569904,3.393140816717673,2.8563950763915873
x1_mrf,14,3.141250000000001,0.8311741392803688,5.441499453395556,4.860086479627487
x1_mrf,15,3.0986250000000033,0.9633802026742802,1.4710321426730772,0.7675934255493099
x1_mrf,16,3.507625000000003,0.9481853224000746,1.6031282444599895,0.817201102141118
x1_mrf,17,3.3541250000000002,0.9218014159645878,1.5229722834410446,0.8000901414196142
x1_mrf,18,3.689875000000001,0.8718552240276383,2.541442556223098,1.7883179268933338
x1_mrf,19,4.452624999999999,0.8945764526540363,2.282026910643966,1.4508908687852484
x1_mrf,20,3.6115,0.8833067572933934,2.393086209919399,1.6472287002973696
x1_mrf,21,3.499125,0.9394742589261207,1.7634793433614762,0.9882933576620094
x1_mrf,22,3.8572500000000005,0.9045203321967398,2.1563951007200597,1.3306304408424028
x1_mrf,23,3.725,0.9203716590139537,1.8855314575699123,1.0755013318733697
x1_mrf,24,4.302875000000001,0.8785434656454298,2.339749896374492,1.4888813769913025
x1_mrf,25,4.375625000000001,0.8682824337621889,2.576837238340413,1.7536049598206414
x1_mrf,26,4.375625000000001,0.8682824337621889,2.576837238340413,1.7536049598206414
x1_mrf,27,4.011125,0.9192534126156359,2.000844536073919,1.1235961389825249
x1_mrf,28,4.153750000000002,0.8945100711598171,2.1783178178622618,1.29174899341847
x1_mrf,29,4.2112500000000015,0.9164134872493852,2.0036769856687626,1.0930552347461033
