    INFO: 2024-08-10 13:08:10,409:               log.py:   20: Logging to /home/haruhiko/Documents/JNet/mdpdf.log
   DEBUG: 2024-08-10 13:08:10,572:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-08-10 13:08:10,572:      pdf_renderer.py:  470: printSegment: |bet
   DEBUG: 2024-08-10 13:08:10,573:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2024-08-10 13:08:10,573:      pdf_renderer.py:  470: printSegment: xy|10.0||
   DEBUG: 2024-08-10 13:08:10,573:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-08-10 13:08:10,574:      pdf_renderer.py:  470: printSegment: |poisson
   DEBUG: 2024-08-10 13:08:10,574:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2024-08-10 13:08:10,575:      pdf_renderer.py:  470: printSegment: weight|0.001||
   DEBUG: 2024-08-10 13:08:10,575:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-08-10 13:08:10,576:      pdf_renderer.py:  470: printSegment: |sig
   DEBUG: 2024-08-10 13:08:10,576:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2024-08-10 13:08:10,576:      pdf_renderer.py:  470: printSegment: eps|0.001||
   DEBUG: 2024-08-10 13:08:10,577:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-08-10 13:08:10,577:      pdf_renderer.py:  470: printSegment: |background|0.01||
   DEBUG: 2024-08-10 13:08:10,578:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-08-10 13:08:10,578:      pdf_renderer.py:  470: printSegment: |scale|10||
   DEBUG: 2024-08-10 13:08:10,578:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-08-10 13:08:10,579:      pdf_renderer.py:  470: printSegment: |mid|40|num of NeurIPSF middle channel|
   DEBUG: 2024-08-10 13:08:10,579:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-08-10 13:08:10,580:      pdf_renderer.py:  470: printSegment: |loss
   DEBUG: 2024-08-10 13:08:10,580:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2024-08-10 13:08:10,581:      pdf_renderer.py:  470: printSegment: fn|nn.MSELoss()|loss func for NeurIPSF|
   DEBUG: 2024-08-10 13:08:10,581:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-08-10 13:08:10,582:      pdf_renderer.py:  470: printSegment: |lr|0.01|lr for pre-training NeurIPSF|
   DEBUG: 2024-08-10 13:08:10,582:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-08-10 13:08:10,582:      pdf_renderer.py:  470: printSegment: |num
   DEBUG: 2024-08-10 13:08:10,583:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2024-08-10 13:08:10,583:      pdf_renderer.py:  470: printSegment: iter
   DEBUG: 2024-08-10 13:08:10,584:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2024-08-10 13:08:10,584:      pdf_renderer.py:  470: printSegment: psf
   DEBUG: 2024-08-10 13:08:10,585:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2024-08-10 13:08:10,585:      pdf_renderer.py:  470: printSegment: pretrain|20000|epoch
   DEBUG: 2024-08-10 13:08:10,586:      pdf_renderer.py:  470: printSegment: for pre-training of NeurIPSF|
   DEBUG: 2024-08-10 13:08:10,586:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-08-10 13:08:10,587:      pdf_renderer.py:  470: printSegment: |nipsf
   DEBUG: 2024-08-10 13:08:10,587:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2024-08-10 13:08:10,588:      pdf_renderer.py:  470: printSegment: loss
   DEBUG: 2024-08-10 13:08:10,588:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2024-08-10 13:08:10,589:      pdf_renderer.py:  470: printSegment: target|1e-05|epoch for pre-training of NeurIPSF|
   DEBUG: 2024-08-10 13:08:10,589:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-08-10 13:08:10,589:      pdf_renderer.py:  470: printSegment: |device|cuda||
   DEBUG: 2024-08-10 13:08:10,590:      pdf_renderer.py:  470: printSegment: Datasets and other training details
   DEBUG: 2024-08-10 13:08:10,591:      pdf_renderer.py:  470: printSegment: simulation
   DEBUG: 2024-08-10 13:08:10,591:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2024-08-10 13:08:10,591:      pdf_renderer.py:  470: printSegment: data
   DEBUG: 2024-08-10 13:08:10,592:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2024-08-10 13:08:10,592:      pdf_renderer.py:  470: printSegment: generation
   DEBUG: 2024-08-10 13:08:10,593:      pdf_renderer.py:  470: printSegment: |Parameter|Value|
   DEBUG: 2024-08-10 13:08:10,593:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-08-10 13:08:10,594:      pdf_renderer.py:  470: printSegment: | :--- | :--- |
   DEBUG: 2024-08-10 13:08:10,594:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-08-10 13:08:10,595:      pdf_renderer.py:  470: printSegment: |dataset
   DEBUG: 2024-08-10 13:08:10,595:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2024-08-10 13:08:10,596:      pdf_renderer.py:  470: printSegment: name|
   DEBUG: 2024-08-10 13:08:10,596:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2024-08-10 13:08:10,596:      pdf_renderer.py:  470: printSegment: var
   DEBUG: 2024-08-10 13:08:10,597:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2024-08-10 13:08:10,597:      pdf_renderer.py:  470: printSegment: num
   DEBUG: 2024-08-10 13:08:10,598:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2024-08-10 13:08:10,598:      pdf_renderer.py:  470: printSegment: realisticdata3|
   DEBUG: 2024-08-10 13:08:10,599:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-08-10 13:08:10,599:      pdf_renderer.py:  470: printSegment: |train
   DEBUG: 2024-08-10 13:08:10,600:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2024-08-10 13:08:10,600:      pdf_renderer.py:  470: printSegment: num|16|
   DEBUG: 2024-08-10 13:08:10,601:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-08-10 13:08:10,601:      pdf_renderer.py:  470: printSegment: |valid
   DEBUG: 2024-08-10 13:08:10,602:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2024-08-10 13:08:10,602:      pdf_renderer.py:  470: printSegment: num|4|
   DEBUG: 2024-08-10 13:08:10,602:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-08-10 13:08:10,603:      pdf_renderer.py:  470: printSegment: |image
   DEBUG: 2024-08-10 13:08:10,603:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2024-08-10 13:08:10,604:      pdf_renderer.py:  470: printSegment: size|
   DEBUG: 2024-08-10 13:08:10,604:      pdf_renderer.py:  470: printSegment: [
   DEBUG: 2024-08-10 13:08:10,605:      pdf_renderer.py:  470: printSegment: 1200, 500, 500
   DEBUG: 2024-08-10 13:08:10,605:      pdf_renderer.py:  470: printSegment: ]
   DEBUG: 2024-08-10 13:08:10,606:      pdf_renderer.py:  470: printSegment: |
   DEBUG: 2024-08-10 13:08:10,606:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-08-10 13:08:10,607:      pdf_renderer.py:  470: printSegment: |train
   DEBUG: 2024-08-10 13:08:10,607:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2024-08-10 13:08:10,608:      pdf_renderer.py:  470: printSegment: object
   DEBUG: 2024-08-10 13:08:10,608:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2024-08-10 13:08:10,609:      pdf_renderer.py:  470: printSegment: num
   DEBUG: 2024-08-10 13:08:10,609:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2024-08-10 13:08:10,610:      pdf_renderer.py:  470: printSegment: min|1500|
   DEBUG: 2024-08-10 13:08:10,610:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-08-10 13:08:10,611:      pdf_renderer.py:  470: printSegment: |train
   DEBUG: 2024-08-10 13:08:10,611:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2024-08-10 13:08:10,612:      pdf_renderer.py:  470: printSegment: object
   DEBUG: 2024-08-10 13:08:10,612:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2024-08-10 13:08:10,613:      pdf_renderer.py:  470: printSegment: num
   DEBUG: 2024-08-10 13:08:10,613:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2024-08-10 13:08:10,614:      pdf_renderer.py:  470: printSegment: max|2500|
   DEBUG: 2024-08-10 13:08:10,614:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-08-10 13:08:10,615:      pdf_renderer.py:  470: printSegment: |valid
   DEBUG: 2024-08-10 13:08:10,615:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2024-08-10 13:08:10,616:      pdf_renderer.py:  470: printSegment: object
   DEBUG: 2024-08-10 13:08:10,616:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2024-08-10 13:08:10,616:      pdf_renderer.py:  470: printSegment: num
   DEBUG: 2024-08-10 13:08:10,617:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2024-08-10 13:08:10,617:      pdf_renderer.py:  470: printSegment: min|1500|
   DEBUG: 2024-08-10 13:08:10,618:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-08-10 13:08:10,618:      pdf_renderer.py:  470: printSegment: |valid
   DEBUG: 2024-08-10 13:08:10,619:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2024-08-10 13:08:10,619:      pdf_renderer.py:  470: printSegment: object
   DEBUG: 2024-08-10 13:08:10,620:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2024-08-10 13:08:10,620:      pdf_renderer.py:  470: printSegment: num
   DEBUG: 2024-08-10 13:08:10,621:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2024-08-10 13:08:10,621:      pdf_renderer.py:  470: printSegment: max|2500|
   DEBUG: 2024-08-10 13:08:10,622:      pdf_renderer.py:  470: printSegment: pretrain
   DEBUG: 2024-08-10 13:08:10,623:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2024-08-10 13:08:10,623:      pdf_renderer.py:  470: printSegment: dataset
   DEBUG: 2024-08-10 13:08:10,624:      pdf_renderer.py:  470: printSegment: |Parameter|Value|
   DEBUG: 2024-08-10 13:08:10,624:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-08-10 13:08:10,625:      pdf_renderer.py:  470: printSegment: | :--- | :--- |
   DEBUG: 2024-08-10 13:08:10,625:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-08-10 13:08:10,626:      pdf_renderer.py:  470: printSegment: |folderpath|
   DEBUG: 2024-08-10 13:08:10,626:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2024-08-10 13:08:10,627:      pdf_renderer.py:  470: printSegment: var
   DEBUG: 2024-08-10 13:08:10,627:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2024-08-10 13:08:10,628:      pdf_renderer.py:  470: printSegment: num
   DEBUG: 2024-08-10 13:08:10,628:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2024-08-10 13:08:10,629:      pdf_renderer.py:  470: printSegment: realisticdata3|
   DEBUG: 2024-08-10 13:08:10,629:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-08-10 13:08:10,630:      pdf_renderer.py:  470: printSegment: |labelname|
   DEBUG: 2024-08-10 13:08:10,630:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2024-08-10 13:08:10,631:      pdf_renderer.py:  470: printSegment: label|
   DEBUG: 2024-08-10 13:08:10,631:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-08-10 13:08:10,632:      pdf_renderer.py:  470: printSegment: |size|
   DEBUG: 2024-08-10 13:08:10,632:      pdf_renderer.py:  470: printSegment: [
   DEBUG: 2024-08-10 13:08:10,633:      pdf_renderer.py:  470: printSegment: 1200, 500, 500
