, ,Nb,Name,Label,Type,CX (pix),CY (pix),CZ (pix),CX (unit),CY (unit),CZ (unit),Xmin (pix),Ymin (pix),Zmin (pix),Xmax (pix),Ymax (pix),Zmax (pix),VolBounding (pix),RatioVolbox,Vol (unit),Vol (pix),Surf (unit),Surf (pix),SurfCorr (pix),Comp (pix),Spher (pix),CompCorr (pix),SpherCorr (pix),Comp (unit),Spher (unit),CompDiscrete,Ell_MajRad,Ell_Elon,Ell_Flatness,volEllipsoid (unit),RatioVolEllipsoid,DCMin (unit),DCMax (unit),DCMean (unit),DCSD (unit),ID,FRAME,mg_volume,mask_volume
73,74,73,obj74-val74,74,0,1773.721,1306.791,116.334,1773.721,1306.791,116.334,1760,1294,97,1783,1320,131,22680,0.168,3819,3819,2578,2578,1713.873,0.096,0.458,0.328,0.689,0.096,0.458,0.948,20.39,2.162,1.359,5590.511,0.683,1.765,23.927,11.134,4.047,MD495,4,107.0,39787.0
93,94,93,obj94-val94,94,0,1157.22,1672.196,148.146,1157.22,1672.196,148.146,1143,1655,125,1171,1690,178,56376,0.226,12719,12719,5922,5922,3987.817,0.088,0.445,0.289,0.661,0.088,0.445,0.964,20.702,1.206,1.584,16141.261,0.788,2.834,31.144,15.021,4.089,MD495,4,116.0,65442.0
111,112,111,obj112-val112,112,0,447.615,1041.008,154.497,447.615,1041.008,154.497,439,1033,133,456,1047,173,11070,0.159,1758,1758,1780,1780,1177.25,0.062,0.396,0.214,0.598,0.062,0.396,0.906,21.475,2.442,2.011,3460.076,0.508,1.191,22.076,10.176,4.655,MD495,4,0.0,31660.0
120,121,120,obj121-val121,121,0,1271.736,760.506,178.153,1271.736,760.506,178.153,1258,734,150,1286,783,208,85550,0.25,21364,21364,7516,7516,5034.921,0.122,0.495,0.404,0.74,0.122,0.495,0.977,35.124,2.374,1.341,24028.924,0.889,6.89,33.77,19.683,6.532,MD495,4,834.0,82222.0
126,127,126,obj127-val127,127,0,956.082,1081.244,174.434,956.082,1081.244,174.434,948,1072,161,965,1092,189,10962,0.351,3846,3846,2428,2428,1631.378,0.117,0.489,0.385,0.728,0.117,0.489,0.956,15.036,1.447,1.349,5039.43,0.763,3.433,16.38,9.952,2.612,MD495,4,0.0,34567.0
143,144,143,obj144-val144,144,0,790.585,172.976,185.126,790.585,172.976,185.126,785,167,176,796,179,193,2808,0.456,1281,1281,932,932,608.38,0.229,0.612,0.824,0.938,0.229,0.612,0.968,9.991,1.579,1.239,1351.782,0.948,3.738,9.805,6.615,1.388,MD495,4,0.0,18883.0
151,152,151,obj152-val152,152,0,1498.918,1480.772,198.685,1498.918,1480.772,198.685,1490,1473,190,1508,1488,210,6384,0.209,1335,1335,1200,1200,781.766,0.117,0.489,0.422,0.75,0.117,0.489,0.935,11.406,1.376,1.632,2010.839,0.664,2.109,11.7,7.138,2.159,MD495,4,0.0,22980.0
157,158,157,obj158-val158,158,0,1312.435,144.811,204.801,1312.435,144.811,204.801,1308,140,194,1318,150,214,2541,0.463,1176,1176,888,888,582.1,0.223,0.607,0.793,0.926,0.223,0.607,0.966,11.737,2.261,1.085,1221.327,0.963,3.446,11.544,6.705,1.992,MD495,4,82.0,18967.0
169,170,169,obj170-val170,170,0,760.587,111.359,222.087,760.587,111.359,222.087,753,104,201,769,117,239,9282,0.315,2921,2921,1908,1908,1335.79,0.139,0.518,0.405,0.74,0.139,0.518,0.958,21.35,3.247,1.128,3429.734,0.852,2.604,21.624,10.793,4.525,MD495,4,0.0,32562.0
176,177,176,obj177-val177,177,0,669.494,122.151,227.279,669.494,122.151,227.279,659,112,214,679,133,239,12012,0.384,4610,4610,2830,2830,2013.033,0.106,0.473,0.295,0.665,0.106,0.473,0.955,15.72,1.316,1.506,6238.691,0.739,2.028,17.582,10.668,2.762,MD495,4,0.0,39704.0
